"","Phenotype","ID"
"TCGA.A2.A0EQ.01A","IDCHer2","TCGA.A2.A0EQ.01A"
"TCGA.A2.A0T1.01A","IDCHer2","TCGA.A2.A0T1.01A"
"TCGA.A7.A0CE.11A","Normal","TCGA.A7.A0CE.11A"
"TCGA.A7.A0CH.11A","Normal","TCGA.A7.A0CH.11A"
"TCGA.A7.A0D9.11A","Normal","TCGA.A7.A0D9.11A"
"TCGA.A7.A0DB.11A","Normal","TCGA.A7.A0DB.11A"
"TCGA.A7.A0DC.11A","Normal","TCGA.A7.A0DC.11A"
"TCGA.A7.A13E.11A","Normal","TCGA.A7.A13E.11A"
"TCGA.A7.A13F.11A","Normal","TCGA.A7.A13F.11A"
"TCGA.A7.A4SF.01A","IDCHer2","TCGA.A7.A4SF.01A"
"TCGA.A8.A07I.01A","IDCHer2","TCGA.A8.A07I.01A"
"TCGA.A8.A08J.01A","IDCHer2","TCGA.A8.A08J.01A"
"TCGA.A8.A08L.01A","IDCHer2","TCGA.A8.A08L.01A"
"TCGA.A8.A094.01A","IDCHer2","TCGA.A8.A094.01A"
"TCGA.AC.A23H.01A","IDCHer2","TCGA.AC.A23H.01A"
"TCGA.AC.A23H.11A","Normal","TCGA.AC.A23H.11A"
"TCGA.AC.A2FB.11A","Normal","TCGA.AC.A2FB.11A"
"TCGA.AC.A2FF.11A","Normal","TCGA.AC.A2FF.11A"
"TCGA.AC.A2FM.11B","Normal","TCGA.AC.A2FM.11B"
"TCGA.AN.A0FV.01A","IDCHer2","TCGA.AN.A0FV.01A"
"TCGA.B6.A0I9.01A","IDCHer2","TCGA.B6.A0I9.01A"
"TCGA.B6.A0RH.01A","IDCHer2","TCGA.B6.A0RH.01A"
"TCGA.BH.A0AU.11A","Normal","TCGA.BH.A0AU.11A"
"TCGA.BH.A0AY.11A","Normal","TCGA.BH.A0AY.11A"
"TCGA.BH.A0AZ.11A","Normal","TCGA.BH.A0AZ.11A"
"TCGA.BH.A0B3.11B","Normal","TCGA.BH.A0B3.11B"
"TCGA.BH.A0B5.11A","Normal","TCGA.BH.A0B5.11A"
"TCGA.BH.A0B8.11A","Normal","TCGA.BH.A0B8.11A"
"TCGA.BH.A0BA.11A","Normal","TCGA.BH.A0BA.11A"
"TCGA.BH.A0BC.11A","Normal","TCGA.BH.A0BC.11A"
"TCGA.BH.A0BJ.11A","Normal","TCGA.BH.A0BJ.11A"
"TCGA.BH.A0BQ.11A","Normal","TCGA.BH.A0BQ.11A"
"TCGA.BH.A0BS.11A","Normal","TCGA.BH.A0BS.11A"
